solution,title,author,url
No Cooking with Gas,dummy title,dummy author,https://www.google.com/
Minergie A Building,dummy title,dummy author,https://www.google.com/
No Heating with Oil,dummy title,dummy author,https://www.google.com/
Solar Pannels,dummy title,dummy author,https://www.google.com/
Clean Electricity,dummy title,dummy author,https://www.google.com/
Renewable Electricity,dummy title,dummy author,https://www.google.com/
Vegetarian,dummy title,dummy author,https://www.google.com/
Vegan,dummy title,dummy author,https://www.google.com/
No Beef & Diary,dummy title,dummy author,https://www.google.com/
Offset Consumption,dummy title,dummy author,https://www.google.com/
Buy Local,dummy book title,dummy book author,https://www.google.com/
Reduce & Reuse,dummy book title,dummy book author,https://www.google.com/
Buy only climate-neutral,dummy book title,dummy book author,https://www.google.com/
Boycott Climate Offenders,dummy book title,dummy book author,https://www.google.com/
Buy only climate-friendly,dummy book title,dummy book author,https://www.google.com/
Follow Innovation,dummy book title,dummy book author,https://www.google.com/
Support Innovation,dummy book title,dummy book author,https://www.google.com/
Innovate yourself,dummy book title,dummy book author,https://www.google.com/
Green Investmets,dummy book title,dummy book author,https://www.google.com/
Green Finances,dummy book title,dummy book author,https://www.google.com/
No (Fossil) Investments,dummy book title,dummy book author,https://www.google.com/
Leave Half to Nature,dummy book title,dummy book author,https://www.google.com/
Restore Ecosystems,dummy book title,dummy book author,https://www.google.com/
Protect Ecosystems,dummy book title,dummy book author,https://www.google.com/
No Flying,dummy book title,dummy book author,https://www.google.com/
Electric Car,dummy book title,dummy book author,https://www.google.com/
No Car,dummy book title,dummy book author,https://www.google.com/
Zero Waste,dummy book title,dummy book author,https://www.google.com/
Recycling,dummy book title,dummy book author,https://www.google.com/
