solution,selection_rule
No Cooking with Gas,Can be combined with other solutions
No Heating with Oil,Can be combined with other solutions
Minergie A Building,"If selected, others solutions in category are deselected"
Clean Electricity,"If selected, others solutions in category are deselected"
Renewable Electricity,"If selected, others solutions in category are deselected"
Solar Pannels,"If selected, others solutions in category are deselected"
Vegetarian,"If selected, others solutions in category are deselected"
No Beef & Diary,"If selected, others solutions in category are deselected"
Vegan,"If selected, others solutions in category are deselected"
Buy Local,Can be combined with other solutions
Reduce & Reuse,Can be combined with other solutions
Offset Consumption,Can be combined with other solutions
Boycott Climate Offenders,"If selected, others solutions in category are deselected"
Buy only climate-friendly,"If selected, others solutions in category are deselected"
Buy only climate-neutral,"If selected, others solutions in category are deselected"
Follow Innovation,Can be combined with other solutions
Support Innovation,Can be combined with other solutions
Innovate yourself,Can be combined with other solutions
No (Fossil) Investments,Can be combined with other solutions
Green Finances,Can be combined with other solutions
Green Investmets,Can be combined with other solutions
Protect Ecosystems,"If selected, others solutions in category are deselected"
Restore Ecosystems,"If selected, others solutions in category are deselected"
Leave Half to Nature,"If selected, others solutions in category are deselected"
No Flying,Can be combined with other solutions
Electric Car,"If selected, ""No Car"" is deselected"
No Car,"If selected, ""Electric Car"" is deselected"
Recycling,Can be combined with other solutions
Composting,Can be combined with other solutions
Zero Waste,Can be combined with other solutions
